,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,n_neighbors,weights,max_depth,max_features,min_samples_split,n_estimators,learning_rate,min_samples_leaf,loss,alpha,l1_ratio,max_iter
3106,DecisionTreeRegressor,0.529677394,0.567660792,0.620111719,0.03831078,NAN,NAN,NAN,,,960,sqrt,,,,,,,,
431,DecisionTreeRegressor,0.332682066,0.567541583,0.783717749,0.184607868,NAN,NAN,NAN,,,68,log2,,,,,,,,
1318,DecisionTreeRegressor,0.540834637,0.567471196,0.60779133,0.028996894,NAN,NAN,NAN,,,364,sqrt,,,,,,,,
923,DecisionTreeRegressor,0.480914501,0.567397704,0.671577938,0.078837492,NAN,NAN,NAN,,,232,log2,,,,,,,,
1937,DecisionTreeRegressor,0.49684906,0.567204561,0.676407702,0.078282313,NAN,NAN,NAN,,,570,log2,,,,,,,,
659,DecisionTreeRegressor,0.495962218,0.567134234,0.685630947,0.084353529,NAN,NAN,NAN,,,144,log2,,,,,,,,
3034,DecisionTreeRegressor,0.390434024,0.567065362,0.727581399,0.138110741,NAN,NAN,NAN,,,936,sqrt,,,,,,,,
1304,DecisionTreeRegressor,0.384524459,0.566900176,0.665233879,0.129091027,NAN,NAN,NAN,,,359,log2,,,,,,,,
1910,DecisionTreeRegressor,0.45944061,0.566762128,0.728363451,0.116303042,NAN,NAN,NAN,,,561,log2,,,,,,,,
2851,DecisionTreeRegressor,0.405232421,0.566714797,0.804432946,0.171656993,NAN,NAN,NAN,,,875,sqrt,,,,,,,,
752,DecisionTreeRegressor,0.503689266,0.566678633,0.6255444,0.04983253,NAN,NAN,NAN,,,175,log2,,,,,,,,
697,DecisionTreeRegressor,0.482158252,0.566628782,0.714104509,0.104648642,NAN,NAN,NAN,,,157,sqrt,,,,,,,,
1732,DecisionTreeRegressor,0.418458835,0.566627601,0.735554538,0.130283275,NAN,NAN,NAN,,,502,sqrt,,,,,,,,
1915,DecisionTreeRegressor,0.305476433,0.566600792,0.746590478,0.189001811,NAN,NAN,NAN,,,563,sqrt,,,,,,,,
2497,DecisionTreeRegressor,0.416137925,0.566457705,0.710145763,0.120119765,NAN,NAN,NAN,,,757,sqrt,,,,,,,,
404,DecisionTreeRegressor,0.528443931,0.566376148,0.622646156,0.040585061,NAN,NAN,NAN,,,59,log2,,,,,,,,
2932,DecisionTreeRegressor,0.445180021,0.566215162,0.730963529,0.120695727,NAN,NAN,NAN,,,902,sqrt,,,,,,,,
1174,DecisionTreeRegressor,0.345465159,0.565854333,0.725740496,0.161033731,NAN,NAN,NAN,,,316,sqrt,,,,,,,,
1501,DecisionTreeRegressor,0.455266859,0.565794311,0.622247041,0.07816074,NAN,NAN,NAN,,,425,sqrt,,,,,,,,
349,DecisionTreeRegressor,0.547025953,0.56567247,0.582272311,0.01446186,NAN,NAN,NAN,,,41,sqrt,,,,,,,,
2930,DecisionTreeRegressor,0.465901713,0.565631132,0.667363388,0.082258577,NAN,NAN,NAN,,,901,log2,,,,,,,,
911,DecisionTreeRegressor,0.446681645,0.565598538,0.63857583,0.084808332,NAN,NAN,NAN,,,228,log2,,,,,,,,
565,DecisionTreeRegressor,0.490492431,0.565508113,0.61518734,0.053967009,NAN,NAN,NAN,,,113,sqrt,,,,,,,,
1082,DecisionTreeRegressor,0.45934593,0.565389253,0.631073328,0.075693358,NAN,NAN,NAN,,,285,log2,,,,,,,,
2555,DecisionTreeRegressor,0.437792594,0.565318104,0.678550051,0.098807111,NAN,NAN,NAN,,,776,log2,,,,,,,,
2746,DecisionTreeRegressor,0.373924175,0.565211476,0.760472306,0.157832624,NAN,NAN,NAN,,,840,sqrt,,,,,,,,
2293,DecisionTreeRegressor,0.412078154,0.565181441,0.661995193,0.109517169,NAN,NAN,NAN,,,689,sqrt,,,,,,,,
1573,DecisionTreeRegressor,0.36537553,0.565165904,0.692366813,0.143021555,NAN,NAN,NAN,,,449,sqrt,,,,,,,,
2617,DecisionTreeRegressor,0.452080589,0.56506181,0.641174092,0.081480375,NAN,NAN,NAN,,,797,sqrt,,,,,,,,
3037,DecisionTreeRegressor,0.437758584,0.564767718,0.642202663,0.090526407,NAN,NAN,NAN,,,937,sqrt,,,,,,,,
320,DecisionTreeRegressor,0.407642469,0.564707,0.646237996,0.111088381,NAN,NAN,NAN,,,31,log2,,,,,,,,
2867,DecisionTreeRegressor,0.505922029,0.564685298,0.64246759,0.057343788,NAN,NAN,NAN,,,880,log2,,,,,,,,
2527,DecisionTreeRegressor,0.431837739,0.564502825,0.676465991,0.100936193,NAN,NAN,NAN,,,767,sqrt,,,,,,,,
797,DecisionTreeRegressor,0.393103568,0.564255374,0.674785774,0.122725798,NAN,NAN,NAN,,,190,log2,,,,,,,,
3218,DecisionTreeRegressor,0.52385793,0.564088421,0.594760517,0.029724473,NAN,NAN,NAN,,,997,log2,,,,,,,,
2684,DecisionTreeRegressor,0.443835799,0.564049028,0.692074338,0.101493397,NAN,NAN,NAN,,,819,log2,,,,,,,,
2414,DecisionTreeRegressor,0.424359986,0.563923106,0.661973391,0.101349294,NAN,NAN,NAN,,,729,log2,,,,,,,,
1831,DecisionTreeRegressor,0.410891242,0.563879031,0.646687455,0.108301496,NAN,NAN,NAN,,,535,sqrt,,,,,,,,
1724,DecisionTreeRegressor,0.463199338,0.563866703,0.703144404,0.101690633,NAN,NAN,NAN,,,499,log2,,,,,,,,
241,DecisionTreeRegressor,0.373987401,0.563736085,0.741018604,0.150098923,NAN,NAN,NAN,,,5,sqrt,,,,,,,,
